001001,Autauga, AL
001003,Baldwin, AL
001005,Barbour, AL
001007,Bibb, AL
001009,Blount, AL
001011,Bullock, AL
001013,Butler, AL
001015,Calhoun, AL
001017,Chambers, AL
001019,Cherokee, AL
001021,Chilton, AL
001023,Choctaw, AL
001025,Clarke, AL
001027,Clay, AL
001029,Cleburne, AL
001031,Coffee, AL
001033,Colbert, AL
001035,Conecuh, AL
001037,Coosa, AL
001039,Covington, AL
001041,Crenshaw, AL
001043,Cullman, AL
001045,Dale, AL
001047,Dallas, AL
001049,DeKalb, AL
001051,Elmore, AL
001053,Escambia, AL
001055,Etowah, AL
001057,Fayette, AL
001059,Franklin, AL
001061,Geneva, AL
001063,Greene, AL
001065,Hale, AL
001067,Henry, AL
001069,Houston, AL
001071,Jackson, AL
001073,Jefferson, AL
001075,Lamar, AL
001077,Lauderdale, AL
001079,Lawrence, AL
001081,Lee, AL
001083,Limestone, AL
001085,Lowndes, AL
001087,Macon, AL
001089,Madison, AL
001091,Marengo, AL
001093,Marion, AL
001095,Marshall, AL
001097,Mobile, AL
001099,Monroe, AL
001101,Montgomery, AL
001103,Morgan, AL
001105,Perry, AL
001107,Pickens, AL
001109,Pike, AL
001111,Randolph, AL
001113,Russell, AL
001115,St. Clair, AL
001117,Shelby, AL
001119,Sumter, AL
001121,Talladega, AL
001123,Tallapoosa, AL
001125,Tuscaloosa, AL
001127,Walker, AL
001129,Washington, AL
001131,Wilcox, AL
001133,Winston, AL
002013,Aleutians East, AK
002016,Aleutians West, AK
002020,Anchorage, AK
002050,Bethel, AK
002060,Bristol Bay, AK
002068,Denali, AK
002070,Dillingham, AK
002090,Fairbanks North Star, AK
002100,Haines, AK
002110,Juneau, AK
002122,Kenai Peninsula, AK
002130,Ketchikan Gateway, AK
002150,Kodiak Island, AK
002164,Lake and Peninsula, AK
002170,Matanuska-Susitna, AK
002180,Nome, AK
002185,North Slope, AK
002188,Northwest Arctic, AK
002201,Prince of Wales-Outer Ketchikan, AK
002220,Sitka, AK
002232,Skagway-Hoonah-Angoon, AK
002240,Southeast Fairbanks, AK
002261,Valdez-Cordova, AK
002270,Wade Hampton, AK
002280,Wrangell-Petersburg, AK
002282,Yakutat, AK
002290,Yukon-Koyukuk, AK
004001,Apache, AZ
004003,Cochise, AZ
004005,Coconino, AZ
004007,Gila, AZ
004009,Graham, AZ
004011,Greenlee, AZ
004012,La Paz, AZ
004013,Maricopa, AZ
004015,Mohave, AZ
004017,Navajo, AZ
004019,Pima, AZ
004021,Pinal, AZ
004023,Santa Cruz, AZ
004025,Yavapai, AZ
004027,Yuma, AZ
005001,Arkansas, AR
005003,Ashley, AR
005005,Baxter, AR
005007,Benton, AR
005009,Boone, AR
005011,Bradley, AR
005013,Calhoun, AR
005015,Carroll, AR
005017,Chicot, AR
005019,Clark, AR
005021,Clay, AR
005023,Cleburne, AR
005025,Cleveland, AR
005027,Columbia, AR
005029,Conway, AR
005031,Craighead, AR
005033,Crawford, AR
005035,Crittenden, AR
005037,Cross, AR
005039,Dallas, AR
005041,Desha, AR
005043,Drew, AR
005045,Faulkner, AR
005047,Franklin, AR
005049,Fulton, AR
005051,Garland, AR
005053,Grant, AR
005055,Greene, AR
005057,Hempstead, AR
005059,Hot Spring, AR
005061,Howard, AR
005063,Independence, AR
005065,Izard, AR
005067,Jackson, AR
005069,Jefferson, AR
005071,Johnson, AR
005073,Lafayette, AR
005075,Lawrence, AR
005077,Lee, AR
005079,Lincoln, AR
005081,Little River, AR
005083,Logan, AR
005085,Lonoke, AR
005087,Madison, AR
005089,Marion, AR
005091,Miller, AR
005093,Mississippi, AR
005095,Monroe, AR
005097,Montgomery, AR
005099,Nevada, AR
005101,Newton, AR
005103,Ouachita, AR
005105,Perry, AR
005107,Phillips, AR
005109,Pike, AR
005111,Poinsett, AR
005113,Polk, AR
005115,Pope, AR
005117,Prairie, AR
005119,Pulaski, AR
005121,Randolph, AR
005123,St. Francis, AR
005125,Saline, AR
005127,Scott, AR
005129,Searcy, AR
005131,Sebastian, AR
005133,Sevier, AR
005135,Sharp, AR
005137,Stone, AR
005139,Union, AR
005141,Van Buren, AR
005143,Washington, AR
005145,White, AR
005147,Woodruff, AR
005149,Yell, AR
006001,Alameda, CA
006003,Alpine, CA
006005,Amador, CA
006007,Butte, CA
006009,Calaveras, CA
006011,Colusa, CA
006013,Contra Costa, CA
006015,Del Norte, CA
006017,El Dorado, CA
006019,Fresno, CA
006021,Glenn, CA
006023,Humboldt, CA
006025,Imperial, CA
006027,Inyo, CA
006029,Kern, CA
006031,Kings, CA
006033,Lake, CA
006035,Lassen, CA
006037,Los Angeles, CA
006039,Madera, CA
006041,Marin, CA
006043,Mariposa, CA
006045,Mendocino, CA
006047,Merced, CA
006049,Modoc, CA
006051,Mono, CA
006053,Monterey, CA
006055,Napa, CA
006057,Nevada, CA
006059,Orange, CA
006061,Placer, CA
006063,Plumas, CA
006065,Riverside, CA
006067,Sacramento, CA
006069,San Benito, CA
006071,San Bernardino, CA
006073,San Diego, CA
006075,San Francisco, CA
006077,San Joaquin, CA
006079,San Luis Obispo, CA
006081,San Mateo, CA
006083,Santa Barbara, CA
006085,Santa Clara, CA
006087,Santa Cruz, CA
006089,Shasta, CA
006091,Sierra, CA
006093,Siskiyou, CA
006095,Solano, CA
006097,Sonoma, CA
006099,Stanislaus, CA
006101,Sutter, CA
006103,Tehama, CA
006105,Trinity, CA
006107,Tulare, CA
006109,Tuolumne, CA
006111,Ventura, CA
006113,Yolo, CA
006115,Yuba, CA
008001,Adams, CO
008003,Alamosa, CO
008005,Arapahoe, CO
008007,Archuleta, CO
008009,Baca, CO
008011,Bent, CO
008013,Boulder, CO
008014,Broomfield, CO
008015,Chaffee, CO
008017,Cheyenne, CO
008019,Clear Creek, CO
008021,Conejos, CO
008023,Costilla, CO
008025,Crowley, CO
008027,Custer, CO
008029,Delta, CO
008031,Denver, CO
008033,Dolores, CO
008035,Douglas, CO
008037,Eagle, CO
008039,Elbert, CO
008041,El Paso, CO
008043,Fremont, CO
008045,Garfield, CO
008047,Gilpin, CO
008049,Grand, CO
008051,Gunnison, CO
008053,Hinsdale, CO
008055,Huerfano, CO
008057,Jackson, CO
008059,Jefferson, CO
008061,Kiowa, CO
008063,Kit Carson, CO
008065,Lake, CO
008067,La Plata, CO
008069,Larimer, CO
008071,Las Animas, CO
008073,Lincoln, CO
008075,Logan, CO
008077,Mesa, CO
008079,Mineral, CO
008081,Moffat, CO
008083,Montezuma, CO
008085,Montrose, CO
008087,Morgan, CO
008089,Otero, CO
008091,Ouray, CO
008093,Park, CO
008095,Phillips, CO
008097,Pitkin, CO
008099,Prowers, CO
008101,Pueblo, CO
008103,Rio Blanco, CO
008105,Rio Grande, CO
008107,Routt, CO
008109,Saguache, CO
008111,San Juan, CO
008113,San Miguel, CO
008115,Sedgwick, CO
008117,Summit, CO
008119,Teller, CO
008121,Washington, CO
008123,Weld, CO
008125,Yuma, CO
009001,Fairfield, CT
009003,Hartford, CT
009005,Litchfield, CT
009007,Middlesex, CT
009009,New Haven, CT
009011,New London, CT
009013,Tolland, CT
009015,Windham, CT
010001,Kent, DE
010003,New Castle, DE
010005,Sussex, DE
011001,District of Columbia, DC
012001,Alachua, FL
012003,Baker, FL
012005,Bay, FL
012007,Bradford, FL
012009,Brevard, FL
012011,Broward, FL
012013,Calhoun, FL
012015,Charlotte, FL
012017,Citrus, FL
012019,Clay, FL
012021,Collier, FL
012023,Columbia, FL
012027,DeSoto, FL
012029,Dixie, FL
012031,Duval, FL
012033,Escambia, FL
012035,Flagler, FL
012037,Franklin, FL
012039,Gadsden, FL
012041,Gilchrist, FL
012043,Glades, FL
012045,Gulf, FL
012047,Hamilton, FL
012049,Hardee, FL
012051,Hendry, FL
012053,Hernando, FL
012055,Highlands, FL
012057,Hillsborough, FL
012059,Holmes, FL
012061,Indian River, FL
012063,Jackson, FL
012065,Jefferson, FL
012067,Lafayette, FL
012069,Lake, FL
012071,Lee, FL
012073,Leon, FL
012075,Levy, FL
012077,Liberty, FL
012079,Madison, FL
012081,Manatee, FL
012083,Marion, FL
012085,Martin, FL
012086,Miami-Dade, FL
012087,Monroe, FL
012089,Nassau, FL
012091,Okaloosa, FL
012093,Okeechobee, FL
012095,Orange, FL
012097,Osceola, FL
012099,Palm Beach, FL
012101,Pasco, FL
012103,Pinellas, FL
012105,Polk, FL
012107,Putnam, FL
012109,St. Johns, FL
012111,St. Lucie, FL
012113,Santa Rosa, FL
012115,Sarasota, FL
012117,Seminole, FL
012119,Sumter, FL
012121,Suwannee, FL
012123,Taylor, FL
012125,Union, FL
012127,Volusia, FL
012129,Wakulla, FL
012131,Walton, FL
012133,Washington, FL
013001,Appling, GA
013003,Atkinson, GA
013005,Bacon, GA
013007,Baker, GA
013009,Baldwin, GA
013011,Banks, GA
013013,Barrow, GA
013015,Bartow, GA
013017,Ben Hill, GA
013019,Berrien, GA
013021,Bibb, GA
013023,Bleckley, GA
013025,Brantley, GA
013027,Brooks, GA
013029,Bryan, GA
013031,Bulloch, GA
013033,Burke, GA
013035,Butts, GA
013037,Calhoun, GA
013039,Camden, GA
013043,Candler, GA
013045,Carroll, GA
013047,Catoosa, GA
013049,Charlton, GA
013051,Chatham, GA
